,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
12327,2022-03-30 22:26:40,60.0,100,100,60,60,100,100,0.984,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1914.89368,2184.466,2.34375,4.6754837,9.375,1.53846145,2.30768919,0.78125,3.5036087,29,26,26,27,27,24,29,801.104,4005.52,4005.52,4005.52,4005.52,4005.52,7.549341,6.192174,0.561158836,1.33027768,100.138,29.8001633,4.72085571,11.1208572,99,2207.52466,81.5055542,25,1.52785814,100,1223.38513,46.5730247,26,1.5573411
12328,2022-03-30 22:26:41,60.0,100,100,60,60,100,100,1.008,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1914.89368,2180.937,12.5,20.3869038,14.1245,7.849705,10.3174572,22.65625,14.6391392,23,23,22,22,22,23,25,1401.93066,801.1033,801.1033,801.1033,4005.51636,4005.51636,16.3531246,14.7953243,0.72805196,1.57500291,100.137909,30.012352,4.754471,11.0872421,99,2207.52466,81.5055542,25,1.52785814,100,1223.38513,46.5730247,26,1.5573411
12329,2022-03-30 22:26:42,60.0,100,100,60,60,100,100,0.944000065,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1925.82031,2177.41943,12.5,19.53125,14.84375,16.40625,10.0360575,31.25,17.42789,23,24,23,23,23,28,28,4105.65625,4105.65625,4005.51831,4005.51831,4005.51831,4005.51831,21.7971344,20.2153873,0.708436251,1.67999208,100.137955,31.9418182,5.060131,10.7815819,99,2207.52466,81.5055542,25,1.52785814,100,1223.38513,46.5730247,26,1.5573411
12330,2022-03-30 22:26:43,60.0,100,100,60,60,100,100,0.984,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1936.87231,2188.00659,36.71875,9.362984,3.150183,0.78125,0.78125,9.375,10.0282373,31,25,24,24,23,23,31,4005.517,4005.517,4005.517,4005.517,4005.517,4005.517,13.6175337,12.1877794,0.645870447,1.26446342,100.137924,32.383667,5.130127,10.711586,99,2207.52466,81.5055542,25,1.52785814,100,1223.38513,46.5730247,26,1.5573411
12331,2022-03-30 22:26:44,60.0,100,100,60,60,100,100,0.624,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1923.0769,2184.466,2.34375,10.2926617,10.76923,5.56835556,0.0,26.9717274,9.324288,22,22,22,22,22,23,25,801.103,4105.653,4005.51514,4005.51514,4005.51514,4005.51514,12.9590445,11.5469713,0.598079562,1.40301013,100.137878,32.1940536,5.10009,10.7416229,99,2207.52466,81.5055542,25,1.52785814,100,1223.38513,46.5730247,26,1.5573411
12332,2022-03-30 22:26:45,60.0,100,100,60,60,100,100,0.944000065,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1923.0769,2177.41943,20.3125,26.52644,6.97191954,19.23077,14.0504837,10.86691,16.3265,27,25,30,25,24,30,30,4005.51953,4005.51953,4005.51953,4005.51953,4005.51953,4005.51953,17.37649,15.9074354,0.6352499,1.43536735,100.137985,32.8236,5.19982147,10.6418915,99,2207.54468,81.49962,26,1.52803171,100,1223.38513,46.5730247,26,1.5573411
12333,2022-03-30 22:26:46,60.0,100,100,60,60,100,100,0.968000054,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1914.89368,2180.937,7.8004837,17.1875,6.165862,8.59375,1.5625,39.0504837,13.3934317,28,34,23,25,23,32,34,4005.517,4105.65527,4005.517,4105.65527,4005.517,4005.517,16.7240753,15.2196407,0.651469231,1.56679368,100.137932,34.5372849,5.471298,10.3704147,99,2207.54468,81.49962,26,1.52803171,100,1223.38513,46.5730247,26,1.5573411
12334,2022-03-30 22:26:47,60.0,100,100,60,60,100,100,0.9760001,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1925.82031,2180.937,0.78125,7.03125,3.125,0.0,2.34375,50.0,10.546875,23,23,23,23,22,31,31,4005.51733,4105.65527,4005.51733,4005.51733,4005.51733,4005.51733,14.3027248,12.8664894,0.6441564,1.32644725,100.137932,34.67031,5.49237061,10.3493423,99,2207.54468,81.49962,26,1.52803171,100,1223.38513,46.5730247,26,1.5573411
12335,2022-03-30 22:26:48,60.0,100,100,60,60,100,100,0.968000054,1.008,3.3920002,3.42400026,1.0,1.008,1.016,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1925.82031,2173.913,5.481148,7.03125,10.9627008,1.5625,1.5625,43.16716,11.6278706,24,25,33,23,23,28,33,4005.51758,4105.656,4005.51758,4005.51758,4005.51758,4005.51758,16.112978,14.6235647,0.651591063,1.518094,100.137939,35.8598175,5.680809,10.1609039,99,2207.54468,81.49962,26,1.52803171,100,1223.38513,46.5730247,26,1.5573411
12336,2022-03-30 22:26:49,60.0,100,100,60,60,100,100,0.968000054,1.008,3.3920002,3.42400026,1.0,1.008,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,25.5,26,25.5,15,23,25,1925.82031,2184.466,2.34375,16.40625,19.53125,0.0,0.0,30.46875,11.4583311,23,24,23,23,23,33,33,4005.51733,4005.51733,4005.51733,4105.65527,4005.51733,4005.51733,14.3770819,12.917264,0.6444986,1.340411,100.137932,35.76687,5.66608429,10.1756287,99,2207.54468,81.49962,26,1.52803171,100,1223.38513,46.5730247,26,1.5573411
