,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Memory,GPU VRM Core,GPU VRM Memory #1,GPU VRM Memory #2,GPU Hot Spot,GPU Total,GPU Fan,GPU Core.1,GPU Memory.1,GPU SOC,GPU Core.2,GPU Memory.2,GPU SOC.1,GPU Core.3,GPU Memory.3,GPU Fan.1,Remaining Life,Total Bytes Written,Temperature,Write Amplification,Temperature.1,Used Space
14958,2022-03-30 03:18:54,60.0,100,100,100,100,100,100,0.992000043,1.008,3.37600017,3.40800023,0.992000043,0.944000065,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,29,25.5,15,23,25,1928.57141,2173.913,17.96875,14.84375,13.28125,14.90575,17.1875,21.09375,16.5467911,25,25,24,24,24,25,26,1602.204,801.102,801.102,801.102,801.102,801.102,21.16973,18.4572544,0,1.53690338,100.137749,33.66712,5.35712051,10.5549049,48,50,0,0,0,48,11,0,791,200,186,0.775000036,0.675,0.8,1,1,0,39,31.7832642,,,,
14959,2022-03-30 03:18:55,60.7843132,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,1.0,0.944000065,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.0,29,25.5,15,23,25,1928.57141,2173.913,10.9375,26.5625,21.09375,12.5,13.28125,19.53125,17.3177071,26,27,25,26,26,30,30,4005.511,4005.511,4005.511,4005.511,4005.511,4005.511,23.3045311,20.411499,0,1.62090063,100.137772,34.03224,5.41521835,10.4968071,48,50,0,0,0,48,10,0,791,200,105,0.775000036,0.675,0.8,1,1,0,39,31.7832642,,,,
14960,2022-03-30 03:18:56,61.9607849,100,100,100,100,100,100,0.704000056,1.008,3.37600017,3.40800023,1.0,0.944000065,1.016,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,29,25.5,15,23,25,1928.57141,2173.913,2.34375,3.125,12.5,0.78125,2.36855149,46.09375,11.2020493,25,26,24,25,24,28,28,4005.51025,4005.51025,4005.51025,4005.51025,4005.51025,4005.51025,15.9418364,12.5836124,0,1.26666594,100.137756,35.6076431,5.66589737,10.2461281,48,50,0,0,0,48,10,0,792,200,63,0.775000036,0.675,0.8,0,1,0,39,31.7832642,,,,
14961,2022-03-30 03:18:57,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,1.0,0.944000065,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,29,25.5,15,23,25,1928.57141,2170.418,3.125,9.375,10.15625,0.78125,0.7692337,49.21875,12.2375784,28,34,25,27,25,30,34,4005.50928,4005.50928,4005.50928,4005.50928,4005.50928,3705.09619,17.2756615,13.9949751,0,1.42179978,100.137733,35.66355,5.67479324,10.2372322,48,50,0,0,0,48,10,0,791,200,102,0.775000036,0.675,0.8,0,1,0,39,31.7832642,,,,
14962,2022-03-30 03:18:58,60.0,100,100,100,100,100,100,0.944000065,1.008,3.37600017,3.40800023,0.992000043,0.944000065,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,29,25.5,15,23,25,1914.89368,2177.41943,15.625,21.875,4.6875,4.6875,10.9375,19.53125,12.890625,28,28,26,32,27,32,32,4005.51025,4005.51025,4005.51025,4005.51025,4005.51025,4005.51025,18.7259827,15.3682117,0,1.44000423,100.137756,35.9992523,5.72821045,10.183815,48,48,0,0,0,48,10,0,792,200,98,0.775000036,0.675,0.8,0,1,0,39,31.7832642,,,,
14963,2022-03-30 03:18:59,60.0,100,100,100,100,100,100,0.960000038,1.008,3.37600017,3.40800023,0.992000043,0.944000065,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.0,29,25.5,15,23,25,1917.61365,2177.41943,6.25,19.53125,4.6875,3.90625,10.9375,28.90625,12.3697939,30,28,25,28,33,26,33,4005.5105,4005.5105,4005.5105,4005.5105,4005.5105,4005.5105,20.0439262,16.6899357,0,1.46140862,100.137756,36.7096443,5.84124756,10.0707779,48,50,0,0,0,48,10,0,792,202,94,0.775000036,0.675,0.8,0,1,0,39,31.7832642,,,,
14964,2022-03-30 03:19:00,60.0,100,100,100,100,100,100,0.9760001,1.008,3.37600017,3.40800023,0.992000043,0.944000065,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,27.0,29,25.5,15,23,25,1914.89368,2170.418,12.5,10.15625,17.1875,7.03125,3.125,32.8125,13.8020811,27,27,25,25,26,32,32,4105.648,4005.51,4005.51,4005.51,4005.51,4105.648,21.5429649,18.5868759,0,1.56684542,100.137749,36.9710274,5.882839,10.0291862,48,50,0,0,0,48,10,0,791,200,79,0.775000036,0.675,0.8,2,1,0,39,31.7832642,,,,
14965,2022-03-30 03:19:01,60.0,100,100,100,100,100,100,0.968000054,1.008,3.37600017,3.40800023,1.0,0.944000065,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,29,25.5,15,23,25,1914.89368,2177.41943,2.34375,3.125,27.34375,11.71875,2.34375,20.3125,11.1979189,27,26,26,25,25,28,28,4005.5105,4005.5105,4005.5105,4005.5105,4105.64844,4105.64844,16.6300678,13.3013535,0,1.32049751,100.137764,37.167778,5.91414642,9.997879,48,48,0,0,0,48,16,0,787,200,484,0.8,0.675,0.8,28,2,0,39,31.7832642,,,,
14966,2022-03-30 03:19:02,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,0.944000065,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,27.0,29,25.5,15,23,25,1906.77966,2177.41943,5.384612,13.8461533,3.8461566,2.30768919,26.1538448,25.3846169,12.8205118,25,34,25,27,35,26,35,4005.51025,4005.51025,4005.51025,4005.51025,4005.51025,4005.51025,19.4120846,16.01578,0,1.47531,100.137756,38.0958252,6.061817,9.850208,48,50,0,0,0,48,10,0,792,202,84,0.775000036,0.675,0.8,1,1,0,39,31.7832642,,,,
14967,2022-03-30 03:19:03,60.0,100,100,100,100,100,100,0.672000051,1.008,3.37600017,3.40800023,1.0,0.944000065,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,29,25.5,15,23,25,1906.77966,2177.41943,3.076923,12.3076916,3.076923,3.076923,3.076923,17.6923027,7.051283,25,26,24,25,24,27,27,4105.64746,4005.51,4105.64746,4005.51,4005.51,4105.64746,13.7365675,10.5791569,0,1.33892059,100.137749,37.5704422,5.978218,9.933807,48,48,0,0,0,48,10,0,792,200,54,0.8,0.675,0.8,0,1,0,39,31.7832642,,,,
