,Unnamed: 0,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
16760,16760,2022-03-30 23:17:27-04:00,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,27.0,27,25.5,15,23,25,1923.0769,2177.41943,3.08893919,18.5216312,10.8293295,7.8125,6.25,7.728362,9.038466,25,26,24,25,24,28,28,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,14.3947039,12.229495,0,1.42681265,100.137894,31.3232422,4.98416138,10.9278641,47,1290.5415,3505.50024,2581.083,1181,2,2,0,0,36,2048,467.375,1580.625,22.8210449,35.6830025,2.9296875,0.0,99,2209.82471,81.50159,26,1.52832961,100,1223.38855,46.5730247,26,1.55734253
16761,16761,2022-03-30 23:17:28-04:00,60.0,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,27.0,27,25.5,15,23,25,1923.0769,2177.41943,2.35614777,33.6061478,12.6860142,1.5625,1.5625,4.76190472,9.422535,24,36,23,25,23,24,36,4005.515,4005.515,4005.515,4005.515,4005.515,4005.515,14.3437939,12.213645,0,1.1488024,100.137871,31.37864,4.992977,10.9190483,47,1290.5415,3505.50024,2581.083,1180,0,1,0,0,36,2048,467.375,1580.625,22.8210449,35.213,0.0,446.289063,99,2209.82471,81.50159,26,1.52832961,100,1223.38855,46.5730247,26,1.55734253
16762,16762,2022-03-30 23:17:29-04:00,66.6666641,100,100,100,100,100,100,0.616000056,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,27,25.5,15,23,25,1925.82031,2180.937,12.5,31.25,15.625,10.15625,15.625,16.40625,16.9270821,29,30,27,32,36,29,35,4005.51514,4005.51514,4005.51514,4005.51514,4005.51514,4005.51514,19.663147,17.4081612,0,1.67959225,100.137878,29.7666016,4.73646927,11.1755562,47,1290.5415,3505.50024,2581.083,1179,2,2,0,0,36,2048,478.25,1569.75,23.35205,35.958,0.9765625,0.0,99,2209.82471,81.50159,26,1.52832961,100,1223.38855,46.5730247,26,1.55734253
16763,16763,2022-03-30 23:17:30-04:00,60.7843132,100,100,100,100,100,100,1.0,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.016,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,27.0,27,25.5,15,23,25,1934.09741,2173.913,7.03125,17.96875,7.8125,14.0625,3.90625,28.90625,13.28125,24,24,23,23,24,23,26,2102.89575,1802.482,3004.13672,4205.7915,4005.51563,4005.51563,15.3500013,13.1904335,0,1.31836569,100.137894,31.6289063,5.032799,10.8792267,47,911.250061,3505.50024,1822.50012,1178,0,0,0,0,36,2048,470.5,1577.5,22.9736328,34.103,15.625,0.0,99,2209.82471,81.50159,26,1.52832961,100,1223.38855,46.5730247,26,1.55734253
16764,16764,2022-03-30 23:17:31-04:00,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,27,25.5,15,23,25,1920.34143,2180.937,3.125,3.125,6.25,29.6875,1.5625,18.75,10.4166689,26,25,34,25,24,28,34,4005.516,4105.654,4005.516,4105.654,4005.516,4005.516,14.987813,12.8311815,0,1.2711345,100.1379,31.8260117,5.064163,10.8478622,45,911.250061,3505.50024,1822.50012,1179,1,1,0,0,36,2048,470.0,1578.0,22.9492188,26.6050014,0.0,0.0,99,2209.84326,81.49913,26,1.528328,100,1223.38867,46.5730247,26,1.55734253
16765,16765,2022-03-30 23:17:32-04:00,60.0,100,100,100,100,100,100,0.704000056,1.008,3.37600017,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,27,25.5,15,23,25,1920.34143,2180.937,6.25,21.875,5.46875,9.375,8.59375,12.5,10.6770811,25,31,24,30,24,25,31,4005.51465,4005.51465,4005.51465,4005.51465,4005.51465,4005.51465,15.0755177,12.8776522,0,1.41177559,100.137863,31.8112869,5.061821,10.8502045,45,911.250061,3505.50024,1822.50012,1177,0,1,0,0,36,2048,471.125,1576.875,23.00415,26.509,0.0,0.0,99,2209.84326,81.49913,26,1.528328,100,1223.38867,46.5730247,26,1.55734253
16766,16766,2022-03-30 23:17:33-04:00,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,27.0,27,25.5,15,23,25,1920.34143,2180.937,9.375,28.125,5.46875,7.03125,6.25,21.09375,12.890625,25,29,24,25,24,24,29,4005.51587,4005.51587,4005.51587,4005.51587,4005.51587,4105.654,17.4308434,15.2733612,0,1.43698311,100.137894,32.55517,5.180187,10.7318382,45,911.250061,3004.6792,1822.50012,1176,1,1,0,0,36,2048,471.125,1576.875,23.00415,25.77,0.0,0.0,99,2209.84326,81.49913,26,1.528328,100,1223.38867,46.5730247,26,1.55734253
16767,16767,2022-03-30 23:17:34-04:00,62.7451,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,27.0,27,25.5,15,23,25,1912.18127,2180.937,23.4375,28.90625,23.4375,17.1875,13.28125,46.09375,25.390625,29,32,26,27,26,27,32,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4105.65332,28.0218372,25.76851,0,1.72272515,100.137886,34.10775,5.42723465,10.4847908,45,1126.0105,3505.50024,2252.021,1175,0,1,0,0,36,2048,479.394531,1568.60547,23.4079361,27.6600018,0.0,0.0,99,2209.84326,81.49913,26,1.528328,100,1223.38867,46.5730247,26,1.55734253
16768,16768,2022-03-30 23:17:35-04:00,62.7451,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.37600017,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,27,25.5,15,23,25,1923.0769,2177.41943,11.71875,8.59375,7.8125,9.375,1.5625,24.21875,10.546875,24,25,23,24,24,28,28,4105.65332,4005.51538,4005.51538,4005.51538,4005.51538,4005.51538,14.9607811,12.7862167,0,1.3242811,100.137886,34.30851,5.459179,10.4528465,45,1126.0105,3505.50024,2252.021,1173,0,1,0,0,36,2048,488.019531,1559.98047,23.8290787,27.6600018,0.0,1.953125,99,2209.84326,81.49913,26,1.528328,100,1223.38867,46.5730247,26,1.55734253
16769,16769,2022-03-30 23:17:36-04:00,60.0,100,100,100,100,100,100,0.992000043,1.008,3.3920002,3.40800023,0.992000043,0.9760001,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,27.0,27,25.5,15,23,25,1925.82031,2180.937,5.46875,7.8125,1.5625,12.5,7.8125,28.90625,10.6770811,26,33,24,31,25,26,33,4005.51245,4105.65039,4005.51245,4105.65039,4005.51245,4005.51245,17.8901749,15.7067556,0,1.46619165,100.13781,34.59001,5.503971,10.4080544,45,1126.0105,3505.50024,2252.021,1172,0,1,0,0,36,2048,510.144531,1537.85547,24.9094,27.756,0.0,0.0,99,2209.84326,81.49913,26,1.528328,100,1223.38867,46.5730247,26,1.55734253
