,Time,Fan Control #1,Fan Control #2,Fan Control #3,Fan Control #4,Fan Control #5,Fan Control #6,Fan Control #7,CPU VCore,Voltage #2,AVCC,3VCC,Voltage #5,Voltage #6,Voltage #7,3VSB,VBAT,VTT,Voltage #11,Voltage #12,Voltage #13,Voltage #14,Voltage #15,Temperature #1,Temperature #2,Temperature #3,Temperature #4,Temperature #5,Temperature #6,Fan #2,Fan #3,CPU Core #1,CPU Core #2,CPU Core #3,CPU Core #4,CPU Core #5,CPU Core #6,CPU Total,CPU Core #1.1,CPU Core #2.1,CPU Core #3.1,CPU Core #4.1,CPU Core #5.1,CPU Core #6.1,CPU Package,CPU Core #1.2,CPU Core #2.2,CPU Core #3.2,CPU Core #4.2,CPU Core #5.2,CPU Core #6.2,CPU Package.1,CPU Cores,CPU Graphics,CPU DRAM,Bus Speed,Memory,Used Memory,Available Memory,GPU Core,GPU Core.1,GPU Memory,GPU Shader,GPU,GPU Core.2,GPU Frame Buffer,GPU Video Engine,GPU Bus Interface,GPU Fan,GPU Memory Total,GPU Memory Used,GPU Memory Free,GPU Memory.1,GPU Power,GPU PCIE Rx,GPU PCIE Tx,Remaining Life,Total Bytes Written,Used Space,Temperature,Write Amplification,Remaining Life.1,Total Bytes Written.1,Used Space.1,Temperature.1,Write Amplification.1
16460,2022-03-30 23:12:23,62.7451,100,100,100,100,100,100,0.952,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,27,25.5,15,23,25,1931.33044,2173.913,17.96875,15.625,11.71875,7.8125,3.90625,20.3125,12.890625,33,25,23,24,23,24,33,4005.51538,4105.65332,3805.23975,2903.99878,2002.75769,1702.344,15.3486128,13.1980648,0,1.34908926,100.137886,29.402298,4.678501,11.2335243,47,1290.5415,3505.50024,2581.083,1169,0,1,0,0,36,2048,464.0,1584.0,22.65625,35.132,0.0,446.289063,99,2209.667,81.504,26,1.52834761,100,1223.38806,46.5730247,26,1.55734217
16461,2022-03-30 23:12:23,60.0,100,100,100,100,100,100,1.008,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,27,25.5,15,23,25,1920.34143,2177.41943,21.09375,20.3125,14.84375,14.84375,18.75,21.09375,18.4895821,39,25,25,25,24,24,39,4105.65332,4105.65332,4005.51514,4105.65332,4105.65332,4005.51514,21.5928936,19.3695736,0,1.65712559,100.137878,29.9567871,4.76673126,11.1452942,47,1290.5415,3505.50024,2581.083,1167,0,1,0,0,36,2048,472.625,1575.375,23.0773926,35.4940033,0.0,0.0,99,2209.667,81.504,26,1.52834761,100,1223.38806,46.5730247,26,1.55734217
16462,2022-03-30 23:12:25,63.92157,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,27,25.5,15,23,25,1920.34143,2180.937,10.15625,12.5,8.59375,16.40625,0.0,17.96875,10.9375,24,25,24,31,23,25,31,4005.516,4105.654,4005.516,4005.516,4005.516,4005.516,14.7796354,12.5863876,0,1.36245131,100.1379,31.4368668,5.002243,10.9097824,47,1290.5415,3505.50024,2581.083,1167,0,1,0,0,35,2048,468.625,1579.375,22.88208,35.213,15.625,0.0,99,2209.667,81.504,26,1.52834761,100,1223.38806,46.5730247,26,1.55734217
16463,2022-03-30 23:12:25,60.0,100,100,100,100,100,100,0.984,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,27,25.5,15,23,25,1920.34143,2180.937,0.0,10.15625,0.0,0.0,0.0,49.21875,9.895831,24,32,23,24,24,24,32,4005.51514,4005.51514,4005.51514,4005.51514,4005.51514,4005.51514,13.8349028,11.6836424,0,1.24235618,100.137878,31.3833618,4.99372864,10.9182968,47,1290.5415,3505.50024,2581.083,1167,0,1,0,0,35,2048,468.125,1579.875,22.857666,35.117,15.625,444.335938,99,2209.667,81.504,26,1.52834761,100,1223.38806,46.5730247,26,1.55734217
16464,2022-03-30 23:12:26,60.0,100,100,100,100,100,100,0.616000056,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.008,1.016,26.5,27,25.5,15,23,25,1920.34143,2180.937,15.625,18.75,7.03125,5.46875,11.71875,14.0625,12.109375,25,33,24,31,25,31,33,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,15.695384,13.48634,0,1.50762618,100.137886,31.5824356,5.025406,10.88662,47,1290.5415,3505.50024,2581.083,1167,0,1,0,0,35,2048,469.25,1578.75,22.9125977,35.108,0.0,0.0,99,2209.667,81.504,26,1.52834761,100,1223.38806,46.5730247,26,1.55734217
16465,2022-03-30 23:12:27,60.0,100,100,100,100,100,100,0.944000065,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,27,25.5,15,23,25,1909.47668,2180.937,9.375,4.6875,18.75,7.8125,14.0625,31.25,14.3229189,25,26,24,25,24,29,29,4005.51587,4005.51587,4005.51587,4105.654,4005.51587,4005.51587,17.6206665,15.4563217,0,1.41275358,100.1379,32.36326,5.14965057,10.7623749,46,911.250061,3004.6792,1822.50012,1166,0,1,0,0,35,2048,469.25,1578.75,22.9125977,25.677002,0.0,0.0,99,2209.667,81.504,26,1.52834761,100,1223.38806,46.5730247,26,1.55734217
16466,2022-03-30 23:12:28,60.0,100,100,100,100,100,100,0.960000038,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.008,1.016,26.5,27,25.5,15,23,25,1912.18127,2180.937,1.53846145,8.4615345,19.9999981,3.8461566,3.8461566,30.76923,11.4102659,25,25,37,25,24,32,37,4005.51514,4005.51514,4005.51514,4005.51514,4005.51514,4005.51514,18.3499775,16.1894569,0,1.48855877,100.137878,33.40027,5.314659,10.5973663,45,1126.0105,3505.50024,2252.021,1167,2,1,0,0,35,2048,476.464844,1571.53516,23.2648849,27.7510014,0.0,0.0,99,2209.667,81.504,26,1.52834761,100,1223.38806,46.5730247,26,1.55734217
16467,2022-03-30 23:12:29,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,27,25.5,15,23,25,1909.47668,2180.937,17.1875,29.6875,21.875,21.875,22.65625,34.375,24.609375,24,25,26,26,24,24,27,4005.51538,4005.51538,4105.65332,4105.65332,4005.51538,4005.51538,24.7396946,22.490654,0,1.597425,100.137886,33.94603,5.4015007,10.5105247,45,1126.0105,3505.50024,2252.021,1166,0,1,0,0,35,2048,478.269531,1569.73047,23.3530045,27.6600018,0.0,0.0,99,2209.68774,81.4988556,26,1.52834606,100,1223.38818,46.5730247,26,1.55734193
16468,2022-03-30 23:12:30,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.3920002,3.26400018,0.496000022,0.6,0.528,0.992000043,1.016,1.016,26.5,27,25.5,15,23,25,1909.47668,2180.937,10.15625,7.03125,2.34375,25.0,4.6875,15.625,10.8072939,25,24,23,35,23,24,35,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,4005.51563,14.942152,12.7901468,0,1.31376839,100.137886,34.1640244,5.43618774,10.4758377,45,1126.0105,3505.50024,2252.021,1163,0,1,0,0,35,2048,486.144531,1561.85547,23.7375259,27.8520012,0.0,0.0,99,2209.68774,81.4988556,26,1.52834606,100,1223.38818,46.5730247,26,1.55734193
16469,2022-03-30 23:12:31,60.0,100,100,100,100,100,100,0.968000054,1.008,3.3920002,3.40800023,0.992000043,0.984,1.008,3.3920002,3.26400018,0.504,0.6,0.528,0.992000043,1.016,1.016,26.5,27,25.5,15,23,25,1923.0769,2180.937,7.03125,14.0625,2.34375,22.65625,13.28125,20.3125,13.28125,24,26,26,30,25,25,30,4105.65332,4105.65332,4005.51538,4105.65332,4005.51538,4105.65332,17.5185165,15.3268948,0,1.51212859,100.137886,34.3466263,5.46524429,10.4467812,44,911.250061,3004.6792,1822.50012,1163,0,1,0,0,35,2048,508.269531,1539.73047,24.8178482,25.5760021,0.0,3.90625,99,2209.68774,81.4988556,26,1.52834606,100,1223.38818,46.5730247,26,1.55734193
